Target:She	She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.	$LABEL$0
Target:President Trump	She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.	$LABEL$0
Target:Hillary Clinton	Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.	$LABEL$0
Target:Facebook	Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.	$LABEL$0
Target:Clinton	(RELATED: The 44 Most Damning Stories From WikiLeaks) During the same event, Clinton also attacked Facebook, Twitter bots, The New York Times, Steve Bannon, and the media in general.	$LABEL$0
Target:Clinton	Hillary Clinton takes "responsibility" for loss, but says others contributed	$LABEL$0
Target:Trump	Trump's unhinged Twitter attacks, frequent off-the-cuff remarks, slurring and very peculiar drinking habits have led to some psychiatrists, mental-health experts and administration critics to call the president's mental stability into question, as the Salon video below notes.	$LABEL$0
Target:Hillary Clinton	Hillary Clinton continues to face fire for alleged pay-for-play schemes involving her work while secretary at the State Department and simultaneous affiliation with the Clinton Foundation, and for the curious Uranium One dealings with Russia she helped shape while serving under Barack Obama.	$LABEL$0
Target:Trump	“The reasons for my departure are personal, but it has been my great honor to serve President Trump and this administration,” Dubke, 47, wrote in an email to friends, according to Politico.	$LABEL$1
Target:President Donald Trump	President Donald Trump hurled more jabs at the "fake news media" Sunday morning, describing White House "leaks" as "fabricated lies" and saying stories with "sources say" make it "very possible" those "sources don't exist" and are made up by "fake news writers."	$LABEL$0
Target:Mr. Trump	It was a familiar morning for Mr. Trump on his favored medium — and for a nation that had, for a little more than a week, gone without the president’s stream-of-consciousness missives.	$LABEL$0
Target:Mr. Trump	It was a familiar morning for Mr. Trump on his favored medium — and for a nation that had, for a little more than a week, gone without the president’s stream-of-consciousness missives.	$LABEL$0
Target:(Reuters/Mike Segar) Kushner “	(Reuters/Mike Segar) Kushner “has been incredibly successful, in both business and now politics.	$LABEL$1
Target:Trump	Aside from government innovation, Kushner has acted as a sort of “shadow secretary of state” in the Trump administration, a source told Politico in February.	$LABEL$0
Target:Kushner	“Mr. Kushner and we have been responsive to all requests.	$LABEL$1
Target:Harleen Kahlon	Harleen Kahlon was an experienced digital media maven when she was hired by Kushner in 2010 to boost the paper’s digital outreach.	$LABEL$1
Target:He	“He would compensate his lack of knowledge by saying stuff like, ‘Let’s just blow up the whole concept of digital.’	$LABEL$0
Target:His	His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”	$LABEL$0
Target:Jacobs	His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”	$LABEL$0
Target:Trump	Yet Evans believes Trump will keep his promise.	$LABEL$1
Target:Trump	Navigating the tricky world of Middle East diplomacy is tough for even the most seasoned diplomats — and Trump is very emphatically not a seasoned diplomat.	$LABEL$0
Target:Hillary Clinton	During the presidential campaign, Trump repeatedly criticized Hillary Clinton for her ties to Saudi Arabia, noting that the Clinton Foundation had received hefty sums from Saudi donors and encouraging Clinton to return the money.	$LABEL$0
Target:Roger	In addition, Roger was a great patriot who never ceased fighting for his beliefs."	$LABEL$1
